test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
3,64,1.749334,0.034045,51.38299309737113,1.7810838222503662,0.1510770320892334,11.78924286253103
3,64,1.750907,0.034054,51.41560462794385,1.7823312282562256,0.15219497680664062,11.710841353986515
3,64,1.78062,0.034606,51.45408310697567,1.8138000965118408,0.15315699577331543,11.842750553793897
3,64,1.751726,0.034016,51.4971190028222,1.7832601070404053,0.15551185607910156,11.467036353378386
3,64,1.755345,0.03405,51.551982378854625,1.7873597145080566,0.1530008316040039,11.682026141753878
3,64,1.735079,0.033648,51.565590822634334,1.7673163414001465,0.14917230606079102,11.847482874468174
3,64,1.749934,0.033934,51.56875110508635,1.7819468975067139,0.15488791465759277,11.50475104171958
3,64,1.756552,0.03406,51.57228420434527,1.788400411605835,0.15128421783447266,11.821460540997144
3,64,1.754841,0.034021,51.58111166632374,1.7869129180908203,0.15565729141235352,11.47978936211275
3,64,1.762942,0.034132,51.65070901207078,1.7956922054290771,0.15422940254211426,11.642995277367692
3,64,1.753631,0.033951,51.65182174310034,1.7856965065002441,0.15454769134521484,11.554339576069852
3,64,1.758635,0.034019,51.695670066727416,1.7908508777618408,0.15067195892333984,11.885760897772657
3,64,1.757465,0.033979,51.72209305747668,1.7901973724365234,0.1536095142364502,11.654208929278193
3,64,1.782944,0.034438,51.77257680469249,1.8153247833251953,0.15343976020812988,11.830863010101417
3,64,1.764623,0.033996,51.90678315095894,1.796445608139038,0.15233588218688965,11.7926622562576
3,64,1.77874,0.034254,51.92795002043557,1.81095552444458,0.1533646583557129,11.808167173979959
3,64,1.919837,0.036766,52.217728335962576,1.9550409317016602,0.17136311531066895,11.40876161219007
3,64,1.78233,0.034125,52.22945054945055,1.8142893314361572,0.1518547534942627,11.947530713977313
3,64,1.808783,0.034622,52.24374675062099,1.8419427871704102,0.14526033401489258,12.680287427822988
3,64,1.762196,0.033685,52.31396764138341,1.7941205501556396,0.15023231506347656,11.942307814384561
3,64,1.781137,0.034043,52.32021267220868,1.8125827312469482,0.15369176864624023,11.793622698292044
3,64,1.784527,0.034046,52.41517358867414,1.816253900527954,0.1520383358001709,11.94602592148284
3,64,1.777232,0.033782,52.6088449470132,1.8101012706756592,0.1531968116760254,11.815528344699434
3,64,1.776399,0.033673,52.75440263712767,1.8078012466430664,0.14050674438476562,12.866295170092037
3,64,1.764587,0.033125,53.27055094339622,1.7965941429138184,0.15060687065124512,11.92903175761567
3,64,1.776381,0.033219,53.47484873114784,1.8096246719360352,0.1496274471282959,12.094202679167536
3,64,1.986175,0.037049,53.609409160841054,2.0231313705444336,0.1577897071838379,12.821694181784116
3,64,1.832569,0.034038,53.83891532992538,1.8644700050354004,0.143812894821167,12.964553751274464
3,64,1.930357,0.03572,54.041349384098545,1.962766170501709,0.14386510848999023,13.643100756694409
3,64,1.814519,0.03313,54.76966495623302,1.8474104404449463,0.14046120643615723,13.152460293615917
